t_s,rx_pkts,rx_bps,rx_udp_pkts,rx_udp_bps,tx_pkts,tx_bps,tx_udp_pkts,tx_udp_bps,rx_tcp_pkts,rx_tcp_bps,rx_icmp_pkts,rx_icmp_bps,tx_qdrop_pkts,tx_qdrop_bps
1.000,818,2849640.000,145,147376.000,12,10944.000,0,0.000,653,2680712.000,18,19728.000,0,0.000
2.000,823,3540112.000,93,98816.000,2,1824.000,0,0.000,708,3416832.000,21,23552.000,0,0.000
3.000,822,2943216.000,149,121072.000,0,0.000,0,0.000,660,2804160.000,13,17984.000,0,0.000
4.000,825,3540968.000,90,118064.000,4,14928.000,0,0.000,723,3396096.000,9,12768.000,0,0.000
5.000,822,3137440.000,108,103224.000,3,2664.000,0,0.000,709,3026416.000,5,7800.000,0,0.000
6.000,822,3073632.000,106,99456.000,1,888.000,0,0.000,712,2971552.000,4,2624.000,0,0.000
7.000,822,3645600.000,65,82576.000,0,0.000,0,0.000,748,3555744.000,9,7280.000,0,0.000
8.000,822,3107984.000,140,138608.000,0,0.000,0,0.000,680,2967256.000,2,2120.000,0,0.000
9.000,822,3021256.000,141,168416.000,0,0.000,0,0.000,671,2842192.000,9,10136.000,0,0.000
10.000,823,2916904.000,123,126312.000,8,18480.000,0,0.000,686,2772408.000,12,16784.000,0,0.000
11.000,822,3232752.000,103,103056.000,1,888.000,0,0.000,705,3112448.000,14,17248.000,0,0.000
12.000,824,3627888.000,100,110856.000,0,0.000,0,0.000,701,3479184.000,21,24696.000,0,0.000
13.000,822,2695912.000,164,151240.000,0,0.000,0,0.000,635,2518248.000,23,26424.000,0,0.000
14.000,822,3173136.000,99,140216.000,0,0.000,0,0.000,714,3022616.000,9,10304.000,0,0.000
15.000,669,2298432.000,140,183304.000,2,13152.000,0,0.000,519,2098792.000,9,15824.000,0,0.000
16.000,643,1950792.000,132,128752.000,0,0.000,0,0.000,506,1816840.000,4,4688.000,0,0.000
17.000,643,2697408.000,70,70600.000,1,576.000,0,0.000,572,2626216.000,1,592.000,0,0.000
18.000,643,2170344.000,92,106896.000,0,0.000,0,0.000,549,2061976.000,2,1472.000,0,0.000
19.000,643,2875680.000,101,83104.000,0,0.000,0,0.000,541,2792064.000,1,512.000,0,0.000
20.000,645,2603568.000,50,57856.000,0,0.000,0,0.000,592,2531648.000,1,912.000,0,0.000
21.000,643,2236384.000,80,108128.000,2,13152.000,0,0.000,563,2128256.000,0,0.000,0,0.000
22.000,643,3052712.000,89,80680.000,2,1024.000,0,0.000,553,2971440.000,1,592.000,0,0.000
23.000,643,2316288.000,65,71552.000,0,0.000,0,0.000,576,2243552.000,2,1184.000,0,0.000
24.000,643,1956192.000,114,108080.000,0,0.000,0,0.000,521,1841744.000,8,6368.000,0,0.000
25.000,643,3470336.000,50,46880.000,0,0.000,0,0.000,591,3421824.000,2,1632.000,0,0.000
26.000,645,1923696.000,70,81976.000,0,0.000,0,0.000,564,1817080.000,9,11488.000,0,0.000
27.000,643,2506464.000,100,89984.000,1,576.000,0,0.000,540,2414896.000,1,560.000,0,0.000
28.000,643,4014416.000,35,34896.000,0,0.000,0,0.000,607,3979008.000,1,512.000,0,0.000
29.000,643,1627400.000,161,230136.000,16189,72264384.000,16185,72249840.000,481,1396352.000,1,912.000,2278,10168992.000
30.000,640,2589032.000,96,101936.000,24037,107301168.000,40222,107301168.000,543,2486536.000,1,560.000,2885,12878640.000
31.000,648,2521616.000,62,63616.000,24052,107368128.000,64274,107368128.000,583,2443936.000,1,912.000,3981,17771184.000
32.000,643,2033600.000,80,104544.000,24131,107720784.000,88405,107720784.000,559,1925952.000,4,3104.000,3947,17619408.000
33.000,643,2667648.000,93,81984.000,23980,107046720.000,112385,107046720.000,547,2583696.000,3,1968.000,3310,14775840.000
