t_s,rx_pkts,rx_bps,rx_udp_pkts,rx_udp_bps,tx_pkts,tx_bps,tx_udp_pkts,tx_udp_bps,rx_tcp_pkts,rx_tcp_bps,rx_icmp_pkts,rx_icmp_bps,tx_qdrop_pkts,tx_qdrop_bps
1.000,2,1824.000,0,0.000,752,2587440.000,115,126480.000,0,0.000,0,0.000,0,0.000
2.000,1,912.000,0,0.000,824,3541024.000,208,98816.000,0,0.000,0,0.000,0,0.000
3.000,0,0.000,0,0.000,822,2943216.000,357,121072.000,0,0.000,0,0.000,0,0.000
4.000,1,888.000,0,0.000,828,3555008.000,447,118064.000,0,0.000,0,0.000,0,0.000
5.000,0,0.000,0,0.000,824,3139056.000,555,103224.000,0,0.000,0,0.000,0,0.000
6.000,0,0.000,0,0.000,824,3075568.000,661,99456.000,0,0.000,0,0.000,0,0.000
7.000,0,0.000,0,0.000,822,3645600.000,726,82576.000,0,0.000,0,0.000,0,0.000
8.000,0,0.000,0,0.000,822,3107984.000,866,138608.000,0,0.000,0,0.000,0,0.000
9.000,0,0.000,0,0.000,822,3021256.000,1007,168416.000,0,0.000,0,0.000,0,0.000
10.000,1,888.000,0,0.000,830,2934496.000,1130,126312.000,0,0.000,0,0.000,0,0.000
11.000,0,0.000,0,0.000,823,3233640.000,1233,103056.000,0,0.000,0,0.000,0,0.000
12.000,0,0.000,0,0.000,824,3627888.000,1333,110856.000,0,0.000,0,0.000,0,0.000
13.000,0,0.000,0,0.000,822,2695912.000,1497,151240.000,0,0.000,0,0.000,0,0.000
14.000,0,0.000,0,0.000,822,3173136.000,1596,140216.000,0,0.000,0,0.000,0,0.000
15.000,0,0.000,0,0.000,671,2311584.000,1736,183304.000,0,0.000,0,0.000,0,0.000
16.000,0,0.000,0,0.000,643,1950792.000,1868,128752.000,0,0.000,0,0.000,0,0.000
17.000,2,1136.000,0,0.000,644,2697984.000,1938,70600.000,2,1136.000,0,0.000,0,0.000
18.000,0,0.000,0,0.000,643,2170344.000,2030,106896.000,0,0.000,0,0.000,0,0.000
19.000,0,0.000,0,0.000,643,2875680.000,2131,83104.000,0,0.000,0,0.000,0,0.000
20.000,0,0.000,0,0.000,645,2603568.000,2181,57856.000,0,0.000,0,0.000,0,0.000
21.000,0,0.000,0,0.000,645,2249536.000,2261,108128.000,0,0.000,0,0.000,0,0.000
22.000,2,1024.000,0,0.000,645,3053736.000,2350,80680.000,0,0.000,0,0.000,0,0.000
23.000,0,0.000,0,0.000,643,2316288.000,2415,71552.000,0,0.000,0,0.000,0,0.000
24.000,0,0.000,0,0.000,643,1956192.000,2529,108080.000,0,0.000,0,0.000,0,0.000
25.000,0,0.000,0,0.000,643,3470336.000,2579,46880.000,0,0.000,0,0.000,0,0.000
26.000,0,0.000,0,0.000,645,1923696.000,2649,81976.000,0,0.000,0,0.000,0,0.000
27.000,0,0.000,0,0.000,644,2507040.000,2749,89984.000,0,0.000,0,0.000,0,0.000
28.000,0,0.000,0,0.000,643,4014416.000,2784,34896.000,0,0.000,0,0.000,0,0.000
29.000,9513,42462128.000,9512,42461568.000,7403,31959328.000,9762,30756632.000,1,560.000,0,0.000,2202,9672472.000
30.000,12839,57313296.000,12839,57313296.000,12009,53486592.000,21311,51281960.000,0,0.000,0,0.000,2715,11965960.000
31.000,14287,63777168.000,14287,63777168.000,10760,47780864.000,31609,45808736.000,0,0.000,0,0.000,3637,16124192.000
32.000,14391,64241424.000,14391,64241424.000,10624,46847856.000,41802,45313768.000,0,0.000,0,0.000,3707,16273840.000
33.000,13254,59165856.000,13254,59165856.000,11695,52188560.000,53047,49940504.000,0,0.000,0,0.000,2982,13150240.000
34.000,13249,59143536.000,13249,59143536.000,11733,52030912.000,64320,50135976.000,0,0.000,0,0.000,2537,11373432.000
35.000,12991,57991824.000,12991,57991824.000,12091,52390192.000,75992,51825656.000,0,0.000,0,0.000,3327,14446464.000
36.000,14293,63803952.000,14293,63803952.000,10504,47100280.000,86097,44855320.000,0,0.000,0,0.000,4194,18749984.000
37.000,14155,63187920.000,14155,63187920.000,10809,47743208.000,96499,46211176.000,0,0.000,0,0.000,3922,17341384.000
38.000,14074,62826336.000,14074,62826336.000,10862,48334496.000,106913,46347008.000,0,0.000,0,0.000,3284,14513656.000
39.000,13905,62071920.000,13905,62071920.000,11000,49642352.000,117417,46793664.000,0,0.000,0,0.000,3404,15330408.000
40.000,15347,68509008.000,15347,68509008.000,9738,42567216.000,126755,41335056.000,0,0.000,0,0.000,3754,16359144.000
41.000,18208,81280512.000,18208,81280512.000,6669,29353504.000,133066,27848792.000,0,0.000,0,0.000,1503,6617304.000
42.000,20888,93240080.000,20887,93239568.000,337,1493144.000,133100,42944.000,0,0.000,0,0.000,0,0.000
43.000,0,0.000,0,0.000,327,895880.000,133155,55464.000,0,0.000,0,0.000,0,0.000
44.000,0,0.000,0,0.000,334,1497400.000,133181,37688.000,0,0.000,0,0.000,0,0.000
45.000,0,0.000,0,0.000,319,1541568.000,133213,34792.000,0,0.000,0,0.000,0,0.000
46.000,0,0.000,0,0.000,341,1069144.000,133276,64232.000,0,0.000,0,0.000,0,0.000
47.000,0,0.000,0,0.000,331,1399336.000,133307,29208.000,0,0.000,0,0.000,0,0.000
48.000,0,0.000,0,0.000,331,1633720.000,133323,17936.000,0,0.000,0,0.000,0,0.000
49.000,0,0.000,0,0.000,333,1016600.000,133401,75776.000,0,0.000,0,0.000,0,0.000
50.000,0,0.000,0,0.000,321,1376136.000,133427,31640.000,0,0.000,0,0.000,0,0.000
51.000,0,0.000,0,0.000,337,1123864.000,133488,58304.000,0,0.000,0,0.000,0,0.000
52.000,0,0.000,0,0.000,337,1230288.000,133543,92224.000,0,0.000,0,0.000,0,0.000
53.000,0,0.000,0,0.000,328,1802632.000,133580,45016.000,0,0.000,0,0.000,0,0.000
54.000,0,0.000,0,0.000,327,1074920.000,133611,36120.000,0,0.000,0,0.000,0,0.000
55.000,0,0.000,0,0.000,324,1027280.000,133677,71792.000,0,0.000,0,0.000,0,0.000
56.000,0,0.000,0,0.000,336,1777128.000,133696,25888.000,0,0.000,0,0.000,0,0.000
57.000,0,0.000,0,0.000,327,891392.000,133754,63544.000,0,0.000,0,0.000,0,0.000
58.000,0,0.000,0,0.000,344,871336.000,133823,77304.000,0,0.000,0,0.000,0,0.000
59.000,0,0.000,0,0.000,335,2031912.000,133835,12824.000,0,0.000,0,0.000,0,0.000
60.000,0,0.000,0,0.000,340,962688.000,133925,135112.000,0,0.000,0,0.000,0,0.000
61.000,0,0.000,0,0.000,321,1180016.000,133974,78080.000,0,0.000,0,0.000,0,0.000
62.000,0,0.000,0,0.000,324,899240.000,134011,54632.000,0,0.000,0,0.000,0,0.000
63.000,0,0.000,0,0.000,324,1021024.000,134066,51704.000,0,0.000,0,0.000,0,0.000
64.000,0,0.000,0,0.000,325,1656064.000,134091,29032.000,0,0.000,0,0.000,0,0.000
65.000,0,0.000,0,0.000,328,781944.000,134149,51064.000,0,0.000,0,0.000,0,0.000
66.000,0,0.000,0,0.000,324,1204264.000,134202,51584.000,0,0.000,0,0.000,0,0.000
67.000,0,0.000,0,0.000,337,1402536.000,134232,31056.000,0,0.000,0,0.000,0,0.000
68.000,0,0.000,0,0.000,328,904456.000,134306,98544.000,0,0.000,0,0.000,0,0.000
69.000,0,0.000,0,0.000,335,1239688.000,134377,176432.000,0,0.000,0,0.000,0,0.000
70.000,0,0.000,0,0.000,329,1883520.000,134401,54944.000,0,0.000,0,0.000,0,0.000
71.000,0,0.000,0,0.000,329,803096.000,134500,268704.000,0,0.000,0,0.000,0,0.000
72.000,0,0.000,0,0.000,327,1200856.000,134587,123560.000,0,0.000,0,0.000,0,0.000
73.000,0,0.000,0,0.000,328,1813472.000,134611,28344.000,0,0.000,0,0.000,0,0.000
74.000,1,592.000,0,0.000,365,1472208.000,134650,44920.000,0,0.000,0,0.000,0,0.000
75.000,0,0.000,0,0.000,333,883648.000,134710,61696.000,0,0.000,0,0.000,0,0.000
76.000,0,0.000,0,0.000,331,1719760.000,134741,47824.000,0,0.000,0,0.000,0,0.000
77.000,0,0.000,0,0.000,322,1262176.000,134788,63592.000,0,0.000,0,0.000,0,0.000
78.000,0,0.000,0,0.000,334,954208.000,134871,104048.000,0,0.000,0,0.000,0,0.000
79.000,1,576.000,0,0.000,334,1434328.000,134923,39952.000,1,576.000,0,0.000,0,0.000
80.000,0,0.000,0,0.000,331,1012272.000,134967,50984.000,0,0.000,0,0.000,0,0.000
81.000,1,576.000,0,0.000,341,1254448.000,135026,49488.000,1,576.000,0,0.000,0,0.000
82.000,0,0.000,0,0.000,340,1670280.000,135065,43344.000,0,0.000,0,0.000,0,0.000
83.000,0,0.000,0,0.000,343,470640.000,135145,118696.000,0,0.000,0,0.000,0,0.000
84.000,1,512.000,0,0.000,331,1116008.000,135218,103008.000,0,0.000,0,0.000,0,0.000
85.000,1,512.000,0,0.000,327,1173928.000,135252,57480.000,0,0.000,0,0.000,0,0.000
86.000,1,512.000,0,0.000,336,1350376.000,135288,42760.000,0,0.000,0,0.000,0,0.000
87.000,0,0.000,0,0.000,332,1463288.000,135336,40416.000,0,0.000,0,0.000,0,0.000
88.000,0,0.000,0,0.000,338,1065016.000,135383,54848.000,0,0.000,0,0.000,0,0.000
