t_s,rx_pkts,rx_bps,rx_udp_pkts,rx_udp_bps,tx_pkts,tx_bps,tx_udp_pkts,tx_udp_bps,rx_tcp_pkts,rx_tcp_bps,rx_icmp_pkts,rx_icmp_bps,tx_qdrop_pkts,tx_qdrop_bps
1.000,3,2736.000,0,0.000,750,2585616.000,115,126480.000,0,0.000,0,0.000,0,0.000
2.000,0,0.000,0,0.000,825,3541936.000,208,98816.000,0,0.000,0,0.000,0,0.000
3.000,0,0.000,0,0.000,822,2943216.000,357,121072.000,0,0.000,0,0.000,0,0.000
4.000,0,0.000,0,0.000,829,3555896.000,447,118064.000,0,0.000,0,0.000,0,0.000
5.000,1,888.000,0,0.000,823,3138168.000,555,103224.000,0,0.000,0,0.000,0,0.000
6.000,1,888.000,0,0.000,823,3074680.000,661,99456.000,0,0.000,0,0.000,0,0.000
7.000,0,0.000,0,0.000,822,3645600.000,726,82576.000,0,0.000,0,0.000,0,0.000
8.000,0,0.000,0,0.000,822,3107984.000,866,138608.000,0,0.000,0,0.000,0,0.000
9.000,0,0.000,0,0.000,822,3021256.000,1007,168416.000,0,0.000,0,0.000,0,0.000
10.000,2,1776.000,0,0.000,829,2933608.000,1130,126312.000,0,0.000,0,0.000,0,0.000
11.000,0,0.000,0,0.000,823,3233640.000,1233,103056.000,0,0.000,0,0.000,0,0.000
12.000,0,0.000,0,0.000,824,3627888.000,1333,110856.000,0,0.000,0,0.000,0,0.000
13.000,0,0.000,0,0.000,822,2695912.000,1497,151240.000,0,0.000,0,0.000,0,0.000
14.000,0,0.000,0,0.000,822,3173136.000,1596,140216.000,0,0.000,0,0.000,0,0.000
15.000,0,0.000,0,0.000,671,2311584.000,1736,183304.000,0,0.000,0,0.000,0,0.000
16.000,0,0.000,0,0.000,643,1950792.000,1868,128752.000,0,0.000,0,0.000,0,0.000
17.000,0,0.000,0,0.000,644,2697984.000,1938,70600.000,0,0.000,0,0.000,0,0.000
18.000,0,0.000,0,0.000,643,2170344.000,2030,106896.000,0,0.000,0,0.000,0,0.000
19.000,0,0.000,0,0.000,643,2875680.000,2131,83104.000,0,0.000,0,0.000,0,0.000
20.000,0,0.000,0,0.000,645,2603568.000,2181,57856.000,0,0.000,0,0.000,0,0.000
21.000,0,0.000,0,0.000,645,2249536.000,2261,108128.000,0,0.000,0,0.000,0,0.000
22.000,0,0.000,0,0.000,645,3053736.000,2350,80680.000,0,0.000,0,0.000,0,0.000
23.000,0,0.000,0,0.000,643,2316288.000,2415,71552.000,0,0.000,0,0.000,0,0.000
24.000,0,0.000,0,0.000,643,1956192.000,2529,108080.000,0,0.000,0,0.000,0,0.000
25.000,0,0.000,0,0.000,643,3470336.000,2579,46880.000,0,0.000,0,0.000,0,0.000
26.000,0,0.000,0,0.000,645,1923696.000,2649,81976.000,0,0.000,0,0.000,0,0.000
27.000,0,0.000,0,0.000,644,2507040.000,2749,89984.000,0,0.000,0,0.000,0,0.000
28.000,0,0.000,0,0.000,643,4014416.000,2784,34896.000,0,0.000,0,0.000,0,0.000
29.000,12,56256.000,0,0.000,16802,73827920.000,19135,72546784.000,0,0.000,12,56256.000,2309,10237320.000
30.000,2,9376.000,0,0.000,24761,110399120.000,43407,108063008.000,0,0.000,2,9376.000,2795,12342936.000
31.000,2,9376.000,0,0.000,24897,110829520.000,67795,108679144.000,0,0.000,2,9376.000,3789,16853728.000
32.000,2,9376.000,0,0.000,24949,110620984.000,92269,109030584.000,0,0.000,2,9376.000,3776,16755304.000
33.000,2,9376.000,0,0.000,24894,111082624.000,116675,108647720.000,0,0.000,2,9376.000,3036,13417344.000
34.000,4,10400.000,0,0.000,24841,110602080.000,141008,108426568.000,0,0.000,2,9376.000,2672,11922744.000
35.000,4,10400.000,0,0.000,24994,109919024.000,165551,109279080.000,0,0.000,2,9376.000,3411,14910496.000
36.000,4,10400.000,0,0.000,24717,110535000.000,189811,108019152.000,0,0.000,2,9376.000,4275,19109520.000
37.000,2,9376.000,0,0.000,24866,110434656.000,214219,108719656.000,0,0.000,2,9376.000,4017,17826960.000
38.000,2,1024.000,0,0.000,24810,110553352.000,238536,108386312.000,0,0.000,0,0.000,3414,15146896.000
39.000,2,1024.000,0,0.000,24761,111134456.000,262770,108075504.000,0,0.000,0,0.000,3546,15909200.000
40.000,2,1024.000,0,0.000,24959,110355376.000,287287,109035480.000,0,0.000,0,0.000,3877,17074504.000
41.000,2,1184.000,0,0.000,24910,110842504.000,311871,109436688.000,0,0.000,0,0.000,13027,57962920.000
42.000,2,1024.000,0,0.000,21790,97168640.000,333418,96093768.000,0,0.000,0,0.000,20986,93827112.000
43.000,2,1024.000,0,0.000,643,1738224.000,333535,114344.000,0,0.000,0,0.000,0,0.000
44.000,2,1024.000,0,0.000,643,2954128.000,333580,63392.000,0,0.000,0,0.000,0,0.000
45.000,0,0.000,0,0.000,645,3181128.000,333650,82352.000,0,0.000,0,0.000,0,0.000
46.000,2,1024.000,0,0.000,645,2058808.000,333763,115256.000,0,0.000,0,0.000,0,0.000
47.000,2,1024.000,0,0.000,643,2714808.000,333822,58776.000,0,0.000,0,0.000,0,0.000
48.000,2,1024.000,0,0.000,643,3120200.000,333854,38504.000,0,0.000,0,0.000,0,0.000
49.000,0,0.000,0,0.000,643,1939184.000,333998,142224.000,0,0.000,0,0.000,0,0.000
50.000,2,1024.000,0,0.000,643,2979160.000,334041,53248.000,0,0.000,0,0.000,0,0.000
51.000,2,1024.000,0,0.000,643,2165424.000,334155,104984.000,0,0.000,0,0.000,0,0.000
52.000,2,1024.000,0,0.000,645,2490008.000,334252,171376.000,0,0.000,0,0.000,0,0.000
53.000,0,0.000,0,0.000,645,3613216.000,334320,81624.000,0,0.000,0,0.000,0,0.000
54.000,2,1024.000,0,0.000,643,2410584.000,334376,68664.000,0,0.000,0,0.000,0,0.000
55.000,2,1024.000,0,0.000,643,2089960.000,334513,134248.000,0,0.000,0,0.000,0,0.000
56.000,2,1024.000,0,0.000,643,3329928.000,334549,47432.000,0,0.000,0,0.000,0,0.000
57.000,0,0.000,0,0.000,643,1706616.000,334666,127680.000,0,0.000,0,0.000,0,0.000
58.000,2,1024.000,0,0.000,643,1798512.000,334788,138680.000,0,0.000,0,0.000,0,0.000
59.000,2,1024.000,0,0.000,643,3923304.000,334804,17544.000,0,0.000,0,0.000,0,0.000
60.000,2,1024.000,0,0.000,647,1805224.000,334975,264632.000,0,0.000,0,0.000,0,0.000
61.000,0,0.000,0,0.000,643,2467800.000,335064,140296.000,0,0.000,0,0.000,0,0.000
62.000,2,1024.000,0,0.000,643,1939912.000,335128,93304.000,0,0.000,0,0.000,0,0.000
63.000,2,1024.000,0,0.000,643,2101440.000,335243,102568.000,0,0.000,0,0.000,0,0.000
64.000,2,1024.000,0,0.000,645,3325880.000,335293,55968.000,0,0.000,0,0.000,0,0.000
65.000,0,0.000,0,0.000,643,1593784.000,335395,94896.000,0,0.000,0,0.000,0,0.000
66.000,2,1024.000,0,0.000,643,2457992.000,335505,100128.000,0,0.000,0,0.000,0,0.000
67.000,2,1024.000,0,0.000,643,2711200.000,335554,51848.000,0,0.000,0,0.000,0,0.000
68.000,2,1024.000,0,0.000,647,1927000.000,335693,180840.000,0,0.000,0,0.000,0,0.000
69.000,0,0.000,0,0.000,643,2379312.000,335830,339904.000,0,0.000,0,0.000,0,0.000
70.000,2,1024.000,0,0.000,643,3783760.000,335873,103784.000,0,0.000,0,0.000,0,0.000
71.000,2,1024.000,0,0.000,643,1571616.000,336077,557144.000,0,0.000,0,0.000,0,0.000
72.000,2,1024.000,0,0.000,643,2402744.000,336250,235432.000,0,0.000,0,0.000,0,0.000
73.000,0,0.000,0,0.000,643,3545536.000,336292,52176.000,0,0.000,0,0.000,0,0.000
74.000,2,1024.000,0,0.000,653,2776776.000,336363,78016.000,0,0.000,0,0.000,0,0.000
75.000,2,1024.000,0,0.000,645,1803584.000,336479,111128.000,0,0.000,0,0.000,0,0.000
76.000,2,1024.000,0,0.000,643,3409992.000,336533,82296.000,0,0.000,0,0.000,0,0.000
77.000,0,0.000,0,0.000,643,2621312.000,336624,131992.000,0,0.000,0,0.000,0,0.000
78.000,2,1024.000,0,0.000,643,1953112.000,336773,191728.000,0,0.000,0,0.000,0,0.000
79.000,2,1024.000,0,0.000,643,2864264.000,336856,67664.000,0,0.000,0,0.000,0,0.000
80.000,2,1024.000,0,0.000,643,2124880.000,336930,90040.000,0,0.000,0,0.000,0,0.000
81.000,0,0.000,0,0.000,645,2371792.000,337037,96048.000,0,0.000,0,0.000,0,0.000
82.000,2,1024.000,0,0.000,643,3303000.000,337094,61912.000,0,0.000,0,0.000,0,0.000
83.000,2,1024.000,0,0.000,645,888736.000,337247,223464.000,0,0.000,0,0.000,0,0.000
84.000,2,1024.000,0,0.000,643,2313320.000,337383,188568.000,0,0.000,0,0.000,0,0.000
85.000,0,0.000,0,0.000,643,2353928.000,337448,112040.000,0,0.000,0,0.000,0,0.000
86.000,2,1024.000,0,0.000,645,2594296.000,337513,76896.000,0,0.000,0,0.000,0,0.000
87.000,2,1024.000,0,0.000,643,2912440.000,337602,80768.000,0,0.000,0,0.000,0,0.000
88.000,2,1024.000,0,0.000,645,1984272.000,337689,103000.000,0,0.000,0,0.000,0,0.000
89.000,0,0.000,0,0.000,644,2663624.000,337779,82920.000,0,0.000,0,0.000,0,0.000
90.000,2,1024.000,0,0.000,644,839768.000,337981,211904.000,0,0.000,0,0.000,0,0.000
91.000,2,1024.000,0,0.000,644,653208.000,338191,201032.000,0,0.000,0,0.000,0,0.000
92.000,2,1024.000,0,0.000,643,643200.000,338414,238688.000,0,0.000,0,0.000,0,0.000
93.000,0,0.000,0,0.000,643,1569008.000,338594,236056.000,0,0.000,0,0.000,0,0.000
94.000,2,1024.000,0,0.000,648,2612792.000,338692,168744.000,0,0.000,0,0.000,0,0.000
95.000,2,1024.000,0,0.000,645,2958224.000,338756,94408.000,0,0.000,0,0.000,0,0.000
96.000,2,1024.000,0,0.000,645,2824600.000,338867,91656.000,0,0.000,0,0.000,0,0.000
97.000,0,0.000,0,0.000,645,2330048.000,338957,103248.000,0,0.000,0,0.000,0,0.000
98.000,2,1024.000,0,0.000,643,3709848.000,339001,50464.000,0,0.000,0,0.000,0,0.000
99.000,2,1024.000,0,0.000,643,1976480.000,339109,92072.000,0,0.000,0,0.000,0,0.000
100.000,2,1024.000,0,0.000,646,2623272.000,339164,65728.000,0,0.000,0,0.000,0,0.000
101.000,0,0.000,0,0.000,644,3329288.000,339215,76096.000,0,0.000,0,0.000,0,0.000
102.000,2,1024.000,0,0.000,646,1614152.000,339401,257960.000,0,0.000,0,0.000,0,0.000
103.000,2,1024.000,0,0.000,643,2657248.000,339481,127880.000,0,0.000,0,0.000,0,0.000
104.000,2,1024.000,0,0.000,644,3392040.000,339519,68696.000,0,0.000,0,0.000,0,0.000
105.000,0,0.000,0,0.000,644,1892144.000,339649,113320.000,0,0.000,0,0.000,0,0.000
106.000,2,1024.000,0,0.000,644,2449104.000,339771,119776.000,0,0.000,0,0.000,0,0.000
107.000,3,1616.000,0,0.000,647,3416080.000,339800,33528.000,0,0.000,0,0.000,0,0.000
108.000,2,1024.000,0,0.000,645,2063408.000,339926,123864.000,0,0.000,0,0.000,0,0.000
109.000,0,0.000,0,0.000,644,2948960.000,339999,73664.000,0,0.000,0,0.000,0,0.000
110.000,2,1024.000,0,0.000,646,3214600.000,340050,57456.000,0,0.000,0,0.000,0,0.000
111.000,2,1024.000,0,0.000,647,2179336.000,340182,116440.000,0,0.000,0,0.000,0,0.000
112.000,2,1024.000,0,0.000,644,3412560.000,340215,40440.000,0,0.000,0,0.000,0,0.000
113.000,0,0.000,0,0.000,643,3652104.000,340249,34944.000,0,0.000,0,0.000,0,0.000
114.000,2,1024.000,0,0.000,645,1590056.000,340396,161440.000,0,0.000,0,0.000,0,0.000
115.000,2,1024.000,0,0.000,643,3144496.000,340448,53648.000,0,0.000,0,0.000,0,0.000
116.000,2,1024.000,0,0.000,645,3066856.000,340504,77000.000,0,0.000,0,0.000,0,0.000
117.000,0,0.000,0,0.000,644,874352.000,340696,240184.000,0,0.000,0,0.000,0,0.000
118.000,2,1024.000,0,0.000,646,3862272.000,340734,53736.000,0,0.000,0,0.000,0,0.000
119.000,2,1024.000,0,0.000,645,3564224.000,340769,48288.000,0,0.000,0,0.000,0,0.000
120.000,2,1024.000,0,0.000,643,2141104.000,340896,123832.000,0,0.000,0,0.000,0,0.000
121.000,0,0.000,0,0.000,644,3669728.000,340945,54488.000,0,0.000,0,0.000,0,0.000
122.000,2,1024.000,0,0.000,646,1636224.000,341054,114928.000,0,0.000,0,0.000,0,0.000
123.000,2,1024.000,0,0.000,647,2565512.000,341186,119600.000,0,0.000,0,0.000,0,0.000
124.000,2,1024.000,0,0.000,644,2859664.000,341224,47792.000,0,0.000,0,0.000,0,0.000
125.000,0,0.000,0,0.000,643,1411016.000,341384,195680.000,0,0.000,0,0.000,0,0.000
126.000,2,1024.000,0,0.000,646,3044528.000,341456,137368.000,0,0.000,0,0.000,0,0.000
127.000,2,1024.000,0,0.000,644,3270456.000,341501,70688.000,0,0.000,0,0.000,0,0.000
128.000,2,1024.000,0,0.000,644,1972000.000,341629,139360.000,0,0.000,0,0.000,0,0.000
129.000,0,0.000,0,0.000,644,2750224.000,341675,45024.000,0,0.000,0,0.000,0,0.000
130.000,2,1024.000,0,0.000,645,2820792.000,341735,73712.000,0,0.000,0,0.000,0,0.000
131.000,2,1024.000,0,0.000,644,2129064.000,341844,116432.000,0,0.000,0,0.000,0,0.000
132.000,2,1024.000,0,0.000,644,2832360.000,341905,58528.000,0,0.000,0,0.000,0,0.000
133.000,0,0.000,0,0.000,645,3519208.000,341949,54888.000,0,0.000,0,0.000,0,0.000
134.000,2,1024.000,0,0.000,644,917448.000,342113,152384.000,0,0.000,0,0.000,0,0.000
135.000,2,1024.000,0,0.000,643,566096.000,342218,97312.000,0,0.000,0,0.000,0,0.000
136.000,2,1024.000,0,0.000,644,654800.000,342336,138192.000,0,0.000,0,0.000,0,0.000
137.000,0,0.000,0,0.000,647,1195664.000,342478,228024.000,0,0.000,0,0.000,0,0.000
138.000,2,1024.000,0,0.000,647,1753712.000,342542,117208.000,0,0.000,0,0.000,0,0.000
