t_s,rx_pkts,rx_bps,rx_udp_pkts,rx_udp_bps,tx_pkts,tx_bps,tx_udp_pkts,tx_udp_bps,rx_tcp_pkts,rx_tcp_bps,rx_icmp_pkts,rx_icmp_bps,tx_qdrop_pkts,tx_qdrop_bps
1.000,2,1824.000,0,0.000,751,2586696.000,114,125736.000,0,0.000,0,0.000,0,0.000
2.000,0,0.000,0,0.000,825,3542056.000,208,99560.000,0,0.000,0,0.000,0,0.000
3.000,0,0.000,0,0.000,822,2942928.000,357,121072.000,0,0.000,0,0.000,0,0.000
4.000,0,0.000,0,0.000,829,3556248.000,447,118064.000,0,0.000,0,0.000,0,0.000
5.000,0,0.000,0,0.000,825,3139616.000,555,103224.000,0,0.000,0,0.000,0,0.000
6.000,1,888.000,0,0.000,822,3073400.000,661,99456.000,0,0.000,0,0.000,0,0.000
7.000,0,0.000,0,0.000,822,3645136.000,725,80832.000,0,0.000,0,0.000,0,0.000
8.000,0,0.000,0,0.000,822,3109168.000,866,140352.000,0,0.000,0,0.000,0,0.000
9.000,0,0.000,0,0.000,822,3021256.000,1007,168416.000,0,0.000,0,0.000,0,0.000
10.000,1,888.000,0,0.000,830,2934496.000,1130,126312.000,0,0.000,0,0.000,0,0.000
11.000,0,0.000,0,0.000,823,3233576.000,1233,103056.000,0,0.000,0,0.000,0,0.000
12.000,0,0.000,0,0.000,824,3627952.000,1333,110856.000,0,0.000,0,0.000,0,0.000
13.000,0,0.000,0,0.000,822,2695856.000,1497,151240.000,0,0.000,0,0.000,0,0.000
14.000,0,0.000,0,0.000,822,3172592.000,1595,139056.000,0,0.000,0,0.000,0,0.000
15.000,0,0.000,0,0.000,672,2312744.000,1736,184464.000,0,0.000,0,0.000,0,0.000
16.000,0,0.000,0,0.000,643,1950792.000,1868,128752.000,0,0.000,0,0.000,0,0.000
17.000,0,0.000,0,0.000,644,2697984.000,1938,70600.000,0,0.000,0,0.000,0,0.000
18.000,0,0.000,0,0.000,643,2170344.000,2030,106896.000,0,0.000,0,0.000,0,0.000
19.000,0,0.000,0,0.000,643,2875680.000,2131,83104.000,0,0.000,0,0.000,0,0.000
20.000,0,0.000,0,0.000,645,2603568.000,2181,57856.000,0,0.000,0,0.000,0,0.000
21.000,0,0.000,0,0.000,645,2249536.000,2261,108128.000,0,0.000,0,0.000,0,0.000
22.000,0,0.000,0,0.000,645,3053736.000,2350,80680.000,0,0.000,0,0.000,0,0.000
23.000,0,0.000,0,0.000,643,2316288.000,2415,71552.000,0,0.000,0,0.000,0,0.000
24.000,0,0.000,0,0.000,643,1956192.000,2529,108080.000,0,0.000,0,0.000,0,0.000
25.000,0,0.000,0,0.000,643,3470336.000,2579,46880.000,0,0.000,0,0.000,0,0.000
26.000,0,0.000,0,0.000,645,1923696.000,2649,81976.000,0,0.000,0,0.000,0,0.000
27.000,0,0.000,0,0.000,644,2507040.000,2749,89984.000,0,0.000,0,0.000,0,0.000
28.000,0,0.000,0,0.000,643,4014416.000,2784,34896.000,0,0.000,0,0.000,0,0.000
29.000,12,56256.000,0,0.000,16799,73814528.000,19132,72533392.000,0,0.000,12,56256.000,0,0.000
30.000,2,9376.000,0,0.000,24760,110394656.000,43403,108058544.000,0,0.000,2,9376.000,0,0.000
31.000,2,9376.000,0,0.000,24901,110847376.000,67795,108697000.000,0,0.000,2,9376.000,0,0.000
32.000,2,9376.000,0,0.000,24940,110573128.000,92261,108994872.000,0,0.000,2,9376.000,0,0.000
33.000,2,9376.000,0,0.000,24898,111108160.000,116670,108661112.000,0,0.000,2,9376.000,0,0.000
34.000,4,10400.000,0,0.000,24843,110611008.000,141005,108435496.000,0,0.000,2,9376.000,0,0.000
35.000,4,10400.000,0,0.000,24993,109907072.000,165548,109279080.000,0,0.000,2,9376.000,0,0.000
36.000,4,10400.000,0,0.000,24717,110542488.000,189807,108014688.000,0,0.000,2,9376.000,0,0.000
37.000,2,9376.000,0,0.000,24867,110439120.000,214216,108724120.000,0,0.000,2,9376.000,0,0.000
38.000,2,1024.000,0,0.000,24810,110553352.000,238533,108386312.000,0,0.000,0,0.000,0,0.000
39.000,2,1024.000,0,0.000,24758,111121064.000,262764,108062112.000,0,0.000,0,0.000,0,0.000
40.000,2,1024.000,0,0.000,24962,110368768.000,287284,109048872.000,0,0.000,0,0.000,0,0.000
41.000,1,592.000,0,0.000,24872,110668088.000,311848,109355296.000,0,0.000,0,0.000,0,0.000
42.000,2,1024.000,0,0.000,21742,96959336.000,333409,96181072.000,0,0.000,0,0.000,0,0.000
43.000,2,1024.000,0,0.000,480,1300160.000,333495,87112.000,0,0.000,0,0.000,0,0.000
44.000,2,1024.000,0,0.000,491,2239656.000,333530,53664.000,0,0.000,0,0.000,0,0.000
45.000,0,0.000,0,0.000,475,2319680.000,333577,57616.000,0,0.000,0,0.000,0,0.000
46.000,2,1024.000,0,0.000,486,1543168.000,333665,92352.000,0,0.000,0,0.000,0,0.000
47.000,2,1024.000,0,0.000,494,2113384.000,333711,45736.000,0,0.000,0,0.000,0,0.000
48.000,2,1024.000,0,0.000,491,2408936.000,333736,26592.000,0,0.000,0,0.000,0,0.000
49.000,0,0.000,0,0.000,478,1437096.000,333839,99776.000,0,0.000,0,0.000,0,0.000
50.000,2,1024.000,0,0.000,482,2160880.000,333878,48320.000,0,0.000,0,0.000,0,0.000
51.000,2,1024.000,0,0.000,493,1628360.000,333972,88816.000,0,0.000,0,0.000,0,0.000
52.000,2,1024.000,0,0.000,484,1861784.000,334044,123832.000,0,0.000,0,0.000,0,0.000
53.000,0,0.000,0,0.000,487,2717864.000,334098,66776.000,0,0.000,0,0.000,0,0.000
54.000,2,1024.000,0,0.000,484,1717160.000,334142,54976.000,0,0.000,0,0.000,0,0.000
55.000,2,1024.000,0,0.000,481,1538936.000,334243,104472.000,0,0.000,0,0.000,0,0.000
56.000,2,1024.000,0,0.000,486,2529328.000,334269,33856.000,0,0.000,0,0.000,0,0.000
57.000,0,0.000,0,0.000,477,1291616.000,334352,92088.000,0,0.000,0,0.000,0,0.000
58.000,2,1024.000,0,0.000,492,1320272.000,334448,106096.000,0,0.000,0,0.000,0,0.000
59.000,2,1024.000,0,0.000,485,2937456.000,334462,16088.000,0,0.000,0,0.000,0,0.000
60.000,2,1024.000,0,0.000,498,1388536.000,334593,203656.000,0,0.000,0,0.000,0,0.000
61.000,0,0.000,0,0.000,477,1804256.000,334659,105448.000,0,0.000,0,0.000,0,0.000
62.000,2,1024.000,0,0.000,482,1459552.000,334707,69256.000,0,0.000,0,0.000,0,0.000
63.000,2,1024.000,0,0.000,481,1577432.000,334792,77984.000,0,0.000,0,0.000,0,0.000
64.000,2,1024.000,0,0.000,487,2544272.000,334830,45768.000,0,0.000,0,0.000,0,0.000
65.000,0,0.000,0,0.000,477,1164184.000,334904,65400.000,0,0.000,0,0.000,0,0.000
66.000,2,1024.000,0,0.000,481,1847848.000,334982,69872.000,0,0.000,0,0.000,0,0.000
67.000,2,1024.000,0,0.000,489,2072640.000,335023,45848.000,0,0.000,0,0.000,0,0.000
68.000,2,1024.000,0,0.000,494,1454480.000,335135,144336.000,0,0.000,0,0.000,0,0.000
69.000,0,0.000,0,0.000,480,1781320.000,335235,253504.000,0,0.000,0,0.000,0,0.000
70.000,2,1024.000,0,0.000,486,2845328.000,335269,79448.000,0,0.000,0,0.000,0,0.000
71.000,2,1024.000,0,0.000,488,1210216.000,335426,429832.000,0,0.000,0,0.000,0,0.000
72.000,2,1024.000,0,0.000,485,1779720.000,335556,172400.000,0,0.000,0,0.000,0,0.000
73.000,0,0.000,0,0.000,481,2636800.000,335589,39824.000,0,0.000,0,0.000,0,0.000
74.000,2,1024.000,0,0.000,514,2108280.000,335647,66776.000,0,0.000,0,0.000,0,0.000
75.000,2,1024.000,0,0.000,491,1324720.000,335738,90272.000,0,0.000,0,0.000,0,0.000
76.000,2,1024.000,0,0.000,484,2551672.000,335779,62480.000,0,0.000,0,0.000,0,0.000
77.000,0,0.000,0,0.000,472,1894400.000,335843,91192.000,0,0.000,0,0.000,0,0.000
78.000,2,1024.000,0,0.000,482,1424544.000,335960,154544.000,0,0.000,0,0.000,0,0.000
79.000,2,1024.000,0,0.000,496,2183536.000,336033,60352.000,0,0.000,0,0.000,0,0.000
80.000,2,1024.000,0,0.000,488,1603384.000,336085,59816.000,0,0.000,0,0.000,0,0.000
81.000,0,0.000,0,0.000,488,1793936.000,336168,72184.000,0,0.000,0,0.000,0,0.000
82.000,2,1024.000,0,0.000,483,2433760.000,336214,49144.000,0,0.000,0,0.000,0,0.000
83.000,2,1024.000,0,0.000,499,697824.000,336330,175792.000,0,0.000,0,0.000,0,0.000
84.000,2,1024.000,0,0.000,485,1722128.000,336435,147800.000,0,0.000,0,0.000,0,0.000
85.000,0,0.000,0,0.000,493,1838960.000,336488,90720.000,0,0.000,0,0.000,0,0.000
86.000,2,1024.000,0,0.000,487,1993680.000,336533,47832.000,0,0.000,0,0.000,0,0.000
87.000,2,1024.000,0,0.000,494,2226752.000,336602,64416.000,0,0.000,0,0.000,0,0.000
88.000,2,1024.000,0,0.000,495,1526792.000,336668,79016.000,0,0.000,0,0.000,0,0.000
89.000,0,0.000,0,0.000,484,1999600.000,336736,62640.000,0,0.000,0,0.000,0,0.000
90.000,2,1024.000,0,0.000,497,629848.000,336896,167720.000,0,0.000,0,0.000,0,0.000
91.000,2,1024.000,0,0.000,486,481696.000,337056,153384.000,0,0.000,0,0.000,0,0.000
92.000,2,1024.000,0,0.000,498,489288.000,337225,180808.000,0,0.000,0,0.000,0,0.000
93.000,0,0.000,0,0.000,487,1210064.000,337355,179632.000,0,0.000,0,0.000,0,0.000
94.000,2,1024.000,0,0.000,494,1972928.000,337432,135280.000,0,0.000,0,0.000,0,0.000
95.000,2,1024.000,0,0.000,484,2189440.000,337487,81264.000,0,0.000,0,0.000,0,0.000
96.000,2,1024.000,0,0.000,488,2090936.000,337571,70976.000,0,0.000,0,0.000,0,0.000
97.000,0,0.000,0,0.000,480,1706728.000,337638,76880.000,0,0.000,0,0.000,0,0.000
98.000,2,1024.000,0,0.000,484,2755160.000,337672,35752.000,0,0.000,0,0.000,0,0.000
99.000,2,1024.000,0,0.000,491,1485848.000,337759,72600.000,0,0.000,0,0.000,0,0.000
100.000,2,1024.000,0,0.000,493,2035192.000,337802,49424.000,0,0.000,0,0.000,0,0.000
101.000,0,0.000,0,0.000,488,2513976.000,337842,62672.000,0,0.000,0,0.000,0,0.000
102.000,2,1024.000,0,0.000,501,1276544.000,337987,197328.000,0,0.000,0,0.000,0,0.000
103.000,2,1024.000,0,0.000,489,2037400.000,338051,101952.000,0,0.000,0,0.000,0,0.000
104.000,2,1024.000,0,0.000,487,2575000.000,338078,49688.000,0,0.000,0,0.000,0,0.000
105.000,0,0.000,0,0.000,491,1379920.000,338181,87776.000,0,0.000,0,0.000,0,0.000
106.000,2,1024.000,0,0.000,486,1824808.000,338275,92080.000,0,0.000,0,0.000,0,0.000
107.000,3,1616.000,0,0.000,490,2572952.000,338297,24264.000,0,0.000,0,0.000,0,0.000
108.000,2,1024.000,0,0.000,488,1558448.000,338389,89096.000,0,0.000,0,0.000,0,0.000
109.000,0,0.000,0,0.000,483,2211296.000,338444,55144.000,0,0.000,0,0.000,0,0.000
110.000,2,1024.000,0,0.000,500,2456448.000,338490,51168.000,0,0.000,0,0.000,0,0.000
111.000,2,1024.000,0,0.000,497,1673912.000,338597,94184.000,0,0.000,0,0.000,0,0.000
112.000,2,1024.000,0,0.000,489,2557064.000,338622,30792.000,0,0.000,0,0.000,0,0.000
113.000,0,0.000,0,0.000,479,2699088.000,338645,22112.000,0,0.000,0,0.000,0,0.000
114.000,2,1024.000,0,0.000,486,1198048.000,338753,115560.000,0,0.000,0,0.000,0,0.000
115.000,2,1024.000,0,0.000,486,2366312.000,338794,44040.000,0,0.000,0,0.000,0,0.000
116.000,2,1024.000,0,0.000,499,2355232.000,338841,64584.000,0,0.000,0,0.000,0,0.000
117.000,0,0.000,0,0.000,499,680168.000,338985,182016.000,0,0.000,0,0.000,0,0.000
118.000,2,1024.000,0,0.000,493,2884984.000,339016,44584.000,0,0.000,0,0.000,0,0.000
119.000,2,1024.000,0,0.000,485,2694168.000,339043,38352.000,0,0.000,0,0.000,0,0.000
